date,amount,category,merchant,day_of_week,is_weekend,month
2024-01-01,62.26,Restaurant,Sushi Bar,Monday,0,1
2024-01-02,150.73,Groceries,Coop,Tuesday,0,1
2024-01-03,15.66,Healthcare,Pharmacy,Wednesday,0,1
2024-01-04,47.78,Restaurant,Sushi Bar,Thursday,0,1
2024-01-05,95.35,Healthcare,Pharmacy,Friday,0,1
2024-01-06,185.44,Restaurant,Pizza Place,Saturday,1,1
2024-01-07,191.87,Transport,Gas Station,Sunday,1,1
2024-01-08,28.38,Groceries,Organic Market,Monday,0,1
2024-01-09,148.65,Entertainment,Cinema,Tuesday,0,1
2024-01-09,24.97,Groceries,Organic Market,Tuesday,0,1
2024-01-10,143.87,Shopping,Clothing Store,Wednesday,0,1
2024-01-12,172.51,Entertainment,Cinema,Friday,0,1
2024-01-13,80.33,Shopping,Clothing Store,Saturday,1,1
2024-01-13,96.15,Healthcare,Clinic,Saturday,1,1
2024-01-14,187.96,Entertainment,Concert Hall,Sunday,1,1
2024-01-15,148.53,Transport,Train Station,Monday,0,1
2024-01-17,1027.6,Rent,Landlord,Wednesday,0,1
2024-01-18,86.22,Restaurant,Trattoria Roma,Thursday,0,1
2024-01-20,134.53,Shopping,Clothing Store,Saturday,1,1
2024-01-20,37.15,Healthcare,Clinic,Saturday,1,1
2024-01-22,121.07,Entertainment,Concert Hall,Monday,0,1
2024-01-22,51.67,Healthcare,Clinic,Monday,0,1
2024-01-23,64.44,Utilities,Electric Company,Tuesday,0,1
2024-01-23,40.4,Transport,Train Station,Tuesday,0,1
2024-01-23,83.11,Healthcare,Pharmacy,Tuesday,0,1
2024-01-24,52.13,Utilities,Internet Provider,Wednesday,0,1
2024-01-25,74.63,Entertainment,Concert Hall,Thursday,0,1
2024-01-25,178.11,Groceries,Coop,Thursday,0,1
2024-01-26,10.62,Transport,Taxi,Friday,0,1
2024-01-27,154.77,Entertainment,Concert Hall,Saturday,1,1
2024-01-27,66.7,Groceries,Coop,Saturday,1,1
2024-01-28,966.15,Rent,Landlord,Sunday,1,1
2024-01-29,71.59,Restaurant,Sushi Bar,Monday,0,1
2024-01-29,186.53,Restaurant,Pizza Place,Monday,0,1
2024-01-29,21.01,Entertainment,Cinema,Monday,0,1
2024-01-30,149.06,Groceries,Supermarket,Tuesday,0,1
2024-01-30,155.51,Groceries,Coop,Tuesday,0,1
2024-02-01,110.26,Transport,Taxi,Thursday,0,2
2024-02-02,989.9,Rent,Landlord,Friday,0,2
2024-02-03,180.93,Shopping,Electronics Shop,Saturday,1,2
